SMILES,TITLE,dockvalent_id,number_of_overlapping_fragments,overlapping_fragments,overlap_score,scaffold,scaffold_generic
Cc1ccc(cc1)S(=O)(=O)NC[C@@H]1CN([C@H](O)c2cccs2)[C@@H]2CC(=O)N([C@@H]2N1C(=O)CC)c1cnccc1C,DOU-UNK-b53-4,858_ACL2ACR.0,0,,1282.6238884575819,O=C1CC2C(NC(CNS(=O)(=O)c3ccccc3)CN2Cc2cccs2)N1c1cccnc1,CC1CC2C(CC3CCCC3)CC(CCC(C)(C)C3CCCCC3)CC2C1C1CCCCC1
Cc1ccc(cc1)S(=O)(=O)NC[C@@H]1CN([C@H](O)c2cccs2)[C@@H]2CC(=O)N([C@@H]2N1C(=O)C)c1cnccc1C,DOU-UNK-b53-4,858_ACL.0,0,,1474.1739704611118,O=C1CC2C(NC(CNS(=O)(=O)c3ccccc3)CN2Cc2cccs2)N1c1cccnc1,CC1CC2C(CC3CCCC3)CC(CCC(C)(C)C3CCCCC3)CC2C1C1CCCCC1
Cc1ccc(cc1)S(=O)(=O)NC[C@@H]1CN(CCN1C(=O)CC)[C@H](O)c1cccs1,DOU-UNK-b53-5,859_ACL2ACR.0,0,,1233.2196043711947,O=S(=O)(NCC1CN(Cc2cccs2)CCN1)c1ccccc1,CC(C)(CCC1CCCC(CC2CCCC2)C1)C1CCCCC1
Cc1ccc(cc1)S(=O)(=O)NC[C@@H]1CN(CCN1C(=O)C)[C@H](O)c1cccs1,DOU-UNK-b53-5,859_ACL.0,0,,1760.1597781292871,O=S(=O)(NCC1CN(Cc2cccs2)CCN1)c1ccccc1,CC(C)(CCC1CCCC(CC2CCCC2)C1)C1CCCCC1
Cc1ccncc1N1[C@@H]2[C@H](CC1=O)N(C[C@@H](N2C(=O)CC)c1cccc(c1)N1CCCC1=O)[C@H](O)c1cccs1,DOU-UNK-b53-6,860_ACL2ACR.0,0,,1221.4204844704311,O=C1CCCN1c1cccc(C2CN(Cc3cccs3)C3CC(=O)N(c4cccnc4)C3N2)c1,CC1CCCC1C1CCCC(C2CC(CC3CCCC3)C3CC(C)C(C4CCCCC4)C3C2)C1
Cc1ccncc1N1[C@@H]2[C@H](CC1=O)N(C[C@@H](N2C(=O)C)c1cccc(c1)N1CCCC1=O)[C@H](O)c1cccs1,DOU-UNK-b53-6,860_ACL.0,0,,1422.2073477861761,O=C1CCCN1c1cccc(C2CN(Cc3cccs3)C3CC(=O)N(c4cccnc4)C3N2)c1,CC1CCCC1C1CCCC(C2CC(CC3CCCC3)C3CC(C)C(C4CCCCC4)C3C2)C1
Cc1ccncc1N1[C@@H]2[C@H](CC1=O)N(Cc1cccs1)CCN2C(=O)CC,DOU-UNK-b53-7,861_ACL2ACR.0,0,,1691.2366257924868,O=C1CC2C(NCCN2Cc2cccs2)N1c1cccnc1,CC1CC2C(CC3CCCC3)CCCC2C1C1CCCCC1
Cc1ccncc1N1[C@@H]2[C@H](CC1=O)N(Cc1cccs1)CCN2C(=O)C,DOU-UNK-b53-7,861_ACL.0,0,,1746.8688385332239,O=C1CC2C(NCCN2Cc2cccs2)N1c1cccnc1,CC1CC2C(CC3CCCC3)CCCC2C1C1CCCCC1
O[C@H](N1CCN([C@H](C1)c1cc(ccc1)N1CCCC1=O)C(=O)CC)c1cccs1,DOU-UNK-b53-8,862_ACL2ACR.0,0,,1632.97662494596,O=C1CCCN1c1cccc(C2CN(Cc3cccs3)CCN2)c1,CC1CCCC1C1CCCC(C2CCCC(CC3CCCC3)C2)C1
O[C@H](N1CCN([C@H](C1)c1cc(ccc1)N1CCCC1=O)C(=O)C)c1cccs1,DOU-UNK-b53-8,862_ACL.0,0,,1498.515335315719,O=C1CCCN1c1cccc(C2CN(Cc3cccs3)CCN2)c1,CC1CCCC1C1CCCC(C2CCCC(CC3CCCC3)C2)C1
